time_step,base_lin_vel_x,base_lin_vel_y,base_lin_vel_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,projected_gravity_x,projected_gravity_y,projected_gravity_z,velocity_command_x,velocity_command_y,velocity_command_yaw,joint_pos_base_lf1,joint_pos_lf1_lf2,joint_pos_lf2_lf3,joint_pos_base_rf1,joint_pos_rf1_rf2,joint_pos_rf2_rf3,joint_pos_base_lb1,joint_pos_lb1_lb2,joint_pos_lb2_lb3,joint_pos_base_rb1,joint_pos_rb1_rb2,joint_pos_rb2_rb3,joint_vel_base_lf1,joint_vel_lf1_lf2,joint_vel_lf2_lf3,joint_vel_base_rf1,joint_vel_rf1_rf2,joint_vel_rf2_rf3,joint_vel_base_lb1,joint_vel_lb1_lb2,joint_vel_lb2_lb3,joint_vel_base_rb1,joint_vel_rb1_rb2,joint_vel_rb2_rb3,joint_effort_base_lf1,joint_effort_lf1_lf2,joint_effort_lf2_lf3,joint_effort_base_rf1,joint_effort_rf1_rf2,joint_effort_rf2_rf3,joint_effort_base_lb1,joint_effort_lb1_lb2,joint_effort_lb2_lb3,joint_effort_base_rb1,joint_effort_rb1_rb2,joint_effort_rb2_rb3,prev_action_base_lf1,prev_action_lf1_lf2,prev_action_lf2_lf3,prev_action_base_rf1,prev_action_rf1_rf2,prev_action_rf2_rf3,prev_action_base_lb1,prev_action_lb1_lb2,prev_action_lb2_lb3,prev_action_base_rb1,prev_action_rb1_rb2,prev_action_rb2_rb3
20.000000,-0.121186,0.157253,0.183704,-1.302227,-3.496372,2.738810,-0.956354,0.128479,-0.123137,0.150000,0.000000,0.000000,0.337651,0.338690,-0.103664,-0.072911,-0.255627,0.441014,0.630569,-0.193133,0.083223,0.054255,-0.337339,0.476329,3.472052,4.901770,-0.458865,1.498566,-0.666662,-4.814075,0.091988,-1.638504,-1.682004,-0.034106,-3.620285,1.019213,-0.501685,-0.407454,-0.776941,0.663553,-0.730799,0.668668,0.788507,-0.772703,-0.784952,-0.677964,-0.601104,-0.511978,1.419871,3.564332,-2.354021,1.232481,0.217628,0.745286,2.507588,-2.485845,-2.550104,-1.129681,1.813676,-1.927997
21.000000,-0.229784,0.282901,0.195071,-0.392773,-4.173661,3.016707,-1.033876,0.020481,0.100818,0.150000,0.000000,0.000000,0.426850,0.361117,-0.148397,-0.039535,-0.216725,0.467304,0.722835,-0.257829,0.086994,-0.019634,-0.444589,0.535344,-0.331939,1.517318,-1.087610,1.270941,0.449592,-1.493545,5.760497,-1.532132,-4.092417,-2.671345,-4.394027,2.042831,0.720213,0.735772,-0.626550,0.709514,-0.741802,0.602308,0.695890,0.754555,-0.730109,-0.678759,-0.616922,-0.720790,1.345548,2.244041,-1.967240,0.376729,-0.430483,0.795302,1.350036,-1.697593,-1.614071,-0.717242,2.030483,-1.418013
22.000000,-0.267562,0.283352,0.054708,0.604034,-5.330697,4.681350,-1.022709,0.208436,0.162227,0.150000,0.000000,0.000000,0.391134,0.411646,-0.168295,0.047759,-0.279254,0.479985,0.836962,-0.204359,-0.116109,-0.149768,-0.576682,0.595128,-1.532946,0.862265,-3.741663,6.626925,1.011986,0.135011,8.259749,1.154216,-5.016774,-5.950185,-9.325288,-0.107862,0.689965,0.685193,-0.761781,0.711011,-0.790663,0.645943,-0.741502,0.793648,-0.769987,-0.650527,-0.678078,-0.735987,1.496014,2.058425,-1.792842,0.616445,-0.707479,1.082121,1.094765,-1.866031,-1.161695,-0.712985,1.733277,-1.773999
23.000000,-0.160420,0.213852,0.134921,0.365862,-5.592686,3.285670,-0.888765,0.269502,0.255715,0.150000,0.000000,0.000000,0.401230,0.430157,-0.250207,0.191687,-0.267732,0.524181,0.943710,-0.092224,-0.196422,-0.271286,-0.565236,0.568716,-1.551190,-1.668673,-5.309905,8.182203,0.070014,5.141261,5.424076,6.902325,-7.983113,-7.474839,1.767596,-3.969644,0.601967,0.619062,0.789106,-0.608021,-0.662791,0.714395,-0.795459,-0.660213,-0.657079,-0.691430,-0.732069,-0.780481,1.047148,1.676714,-1.023171,0.525047,-1.173531,1.433623,0.649998,-1.636698,-0.279522,-0.394174,1.919171,-1.587775
24.000000,0.343720,0.112308,0.030718,0.216751,0.333790,-0.008485,0.081995,0.081977,-1.044547,0.150000,0.000000,0.000000,-0.123514,-0.003907,0.166327,-0.060379,-0.179530,0.042040,0.159466,-0.122159,0.106477,-0.062934,-0.147555,0.165623,-2.085373,-1.421596,0.798973,-1.005076,-1.301597,1.128554,-0.822284,-0.212919,0.615528,-0.075902,0.219409,-0.876472,0.774180,0.753004,-0.626250,0.617162,-0.666705,0.629055,0.673763,-0.799681,-0.793830,-0.783151,-0.651910,0.729232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25.000000,0.322836,0.075526,-0.198998,-1.090798,-0.494259,0.244537,0.048884,-0.049544,-1.051187,0.150000,0.000000,0.000000,-0.042145,0.027202,0.116911,-0.027205,-0.140985,0.080964,0.181855,-0.140076,0.050406,-0.063824,-0.171828,0.182220,2.346316,0.791612,-0.935843,2.924477,-2.257642,1.472755,1.555117,-2.727390,-0.881839,-3.864309,-3.510783,1.689220,0.661777,0.641483,-0.653738,0.718083,-0.667017,0.796677,0.706369,-0.636386,-0.678682,-0.678571,-0.653291,0.759605,0.726053,0.840501,-0.993468,0.547409,-0.814613,0.415664,0.559506,-0.935824,-0.326465,-0.651034,0.846074,-1.201425
26.000000,0.160913,0.291068,-0.125602,-6.271541,-1.853908,0.037419,-0.097703,0.072124,-0.937333,0.150000,0.000000,0.000000,-0.039519,0.135868,0.004799,0.017760,-0.210508,0.109717,0.259439,-0.275845,0.034921,-0.121074,-0.321667,0.251690,1.857837,6.688190,-4.958139,5.114164,-0.024953,7.022470,4.890908,0.004715,-2.131183,-4.737503,-3.584698,3.299856,-0.599470,0.738220,-0.714423,-0.666880,-0.724433,0.718212,0.765221,-0.664446,0.418638,-0.698969,-0.752067,0.726433,0.557611,0.497022,-0.663655,0.042829,-0.345511,0.329333,0.278377,-0.688072,0.199707,-0.341480,0.863563,-0.325056
27.000000,-0.045130,0.311007,-0.271479,-6.382048,-2.167868,0.248232,-0.031303,0.226957,-1.006510,0.150000,0.000000,0.000000,0.047821,0.180333,-0.124159,0.143368,-0.248060,0.254890,0.449099,-0.220841,-0.005336,-0.231031,-0.388471,0.441395,2.114302,6.281017,-8.338727,2.857964,1.471581,4.508620,7.886250,1.409264,-0.784378,-7.790824,-8.472039,7.524269,0.776159,-0.752565,-0.700499,0.797830,-0.635211,-0.722636,-0.703083,-0.702241,-0.649692,0.685175,0.671482,-0.686446,0.246979,0.347896,-0.475035,0.288006,-0.422105,0.308621,0.224523,-0.467937,0.108823,-0.297037,0.670708,-0.312349
28.000000,-0.164946,0.136549,0.065165,-4.270296,-1.077917,1.025597,-0.184345,0.211268,-0.923063,0.150000,0.000000,0.000000,0.193671,0.299613,-0.210833,0.243257,-0.227787,0.354019,0.493400,-0.244352,-0.107304,-0.420051,-0.489177,0.449521,3.790336,4.152741,-8.082539,3.765028,-0.859429,3.890929,4.913411,-0.371062,-4.021633,-6.281011,-5.074063,2.941700,-0.706936,-0.672551,0.702856,-0.746256,-0.755309,-0.635556,-0.608922,0.761279,0.689576,0.774279,0.767024,-0.728846,0.173942,0.274809,-0.287390,0.057659,-0.291684,0.342057,0.011513,-0.100241,0.033984,-0.118048,0.307479,-0.065909
29.000000,-0.130387,0.109039,0.011939,-1.891898,-0.900389,0.409622,-0.119149,0.402291,-0.856899,0.150000,0.000000,0.000000,0.198308,0.263889,-0.305478,0.242790,-0.240719,0.332107,0.596750,-0.250921,-0.180829,-0.409458,-0.588213,0.479122,-0.714271,0.024630,-4.397172,0.673536,-0.707027,0.962799,2.333571,1.806164,-0.287193,0.155680,-2.940242,1.878701,-0.612715,-0.743054,0.706312,-0.741952,0.041829,-0.633880,-0.763480,-0.691829,0.764114,0.797626,0.676302,-0.703061,0.118742,0.412624,-0.197640,0.220341,-0.644099,0.437472,0.213704,-0.265814,-0.149953,-0.237045,0.527417,-0.129022
